OverallRank,City,TotalScore,HealthCare,Food,Fitness,GreenSpace
11,"Scottsdale, AZ",59.48,36,44,1,23
23,"Tempe, AZ",56.65,81,50,2,32
5,"Salt Lake City, UT",64.16,38,14,3,4
33,"Plano, TX",54.46,5,106,4,86
12,"Irvine, CA",59.22,7,41,5,28
2,"Seattle, WA",66.08,6,8,6,9
16,"Huntington Beach, CA",58.45,10,47,7,33
76,"Chandler, AZ",49.77,60,77,8,145
92,"Gilbert, AZ",47.64,58,84,9,168
44,"Tucson, AZ",53.27,98,43,10,72
46,"Vancouver, WA",53.00,71,73,11,80
71,"Nashua, NH",50.59,61,129,12,116
74,"Colorado Springs, CO",49.89,90,92,13,105
34,"Oceanside, CA",54.37,52,54,14,101
69,"Reno, NV",50.65,142,91,15,62
18,"Orlando, FL",58.30,55,15,16,46
8,"Denver, CO",60.26,28,16,17,22
83,"Tacoma, WA",48.69,155,88,18,100
3,"San Diego, CA",64.94,40,4,19,7
38,"Boise, ID",54.05,91,46,20,47
27,"Columbia, MD",55.65,1,89,21,96
54,"Aurora, CO",51.61,34,81,22,90
32,"Tampa, FL",54.98,70,26,23,67
20,"Fremont, CA",57.64,18,25,24,49
15,"Madison, WI",58.53,11,40,25,16
49,"St. Petersburg, FL",52.49,83,61,26,57
31,"Las Vegas, NV",55.27,164,18,27,21
99,"Mesa, AZ",46.93,103,72,28,151
7,"Austin, TX",60.35,27,12,29,25
24,"Atlanta, GA",56.23,87,21,30,44
50,"Raleigh, NC",52.44,29,33,31,122
30,"Missoula, MT",55.28,13,136,32,18
79,"Omaha, NE",49.27,131,83,33,74
88,"Richmond, VA",48.00,136,66,34,128
60,"Spokane, WA",51.26,76,55,35,91
42,"Santa Rosa, CA",53.50,44,65,36,65
40,"Overland Park, KS",53.95,2,108,37,95
4,"Portland, OR",64.69,32,3,38,5
37,"Fort Lauderdale, FL",54.06,48,48,39,52
39,"Long Beach, CA",54.01,62,37,40,50
77,"Charleston, SC",49.52,24,121,41,134
29,"Pittsburgh, PA",55.41,72,19,42,51
51,"St. Louis, MO",52.26,104,45,43,48
13,"Portland, ME",59.21,43,23,44,6
35,"Glendale, CA",54.36,56,64,45,11
70,"Charlotte, NC",50.63,37,35,46,137
101,"Glendale, AZ",46.27,124,101,47,118
47,"Phoenix, AZ",52.74,100,27,48,69
118,"Rancho Cucamonga, CA",44.45,132,145,49,120
62,"Virginia Beach, VA",51.03,39,52,50,93
48,"Santa Clarita, CA",52.66,22,90,51,38
1,"San Francisco, CA",68.54,33,1,52,1
84,"Chula Vista, CA",48.43,41,78,53,140
57,"Cincinnati, OH",51.42,151,53,54,29
22,"Burlington, VT",57.05,23,24,55,43
21,"San Jose, CA",57.46,15,20,56,35
91,"Manchester, NH",47.64,75,138,57,84
89,"Durham, NC",47.91,17,62,58,166
53,"Anaheim, CA",51.96,50,49,59,66
63,"Albuquerque, NM",50.90,137,80,60,24
95,"Peoria, AZ",47.29,80,116,61,106
87,"Lincoln, NE",48.05,63,120,62,75
41,"Sacramento, CA",53.77,99,28,63,40
61,"Grand Rapids, MI",51.09,68,59,64,61
58,"Wilmington, DE",51.39,66,71,65,34
55,"Pembroke Pines, FL",51.59,19,105,66,39
6,"Honolulu, HI",62.14,51,11,67,3
66,"Sioux Falls, SD",50.82,14,79,68,117
75,"Bismarck, ND",49.85,92,68,69,79
126,"Huntsville, AL",43.32,113,141,70,167
111,"Columbia, SC",45.15,65,119,71,170
85,"Jacksonville, FL",48.32,89,87,72,83
25,"Miami, FL",55.69,47,9,73,70
67,"Oxnard, CA",50.75,88,57,74,53
72,"Fargo, ND",50.58,9,100,75,107
104,"Knoxville, TN",46.08,109,96,76,133
107,"Dallas, TX",45.71,123,74,77,123
45,"St. Paul, MN",53.04,20,67,78,37
28,"Boston, MA",55.64,46,13,79,55
147,"Arlington, TX",40.41,120,157,80,162
133,"Fort Worth, TX",42.35,126,126,81,146
19,"Los Angeles, CA",58.23,78,6,82,19
64,"Bridgeport, CT",50.90,54,128,83,8
115,"Riverside, CA",44.77,133,113,84,103
26,"Oakland, CA",55.67,77,5,85,64
14,"Minneapolis, MN",58.72,8,29,86,10
139,"Birmingham, AL",41.81,152,151,87,114
127,"Tallahassee, FL",42.81,84,169,88,126
100,"San Antonio, TX",46.71,106,94,89,88
9,"South Burlington, VT",60.09,3,10,90,71
108,"Billings, MT",45.69,102,130,91,109
148,"Greensboro, NC",40.25,116,147,92,169
112,"Henderson, NV",45.01,158,146,93,54
102,"Casper, WY",46.14,112,171,94,56
125,"Chattanooga, TN",43.35,135,154,95,68
134,"Little Rock, AR",42.33,119,140,96,149
98,"Houston, TX",47.14,118,38,97,115
43,"Rochester, NY",53.39,67,34,98,14
119,"Modesto, CA",44.43,162,115,99,78
81,"Baltimore, MD",48.86,141,30,100,82
36,"Chicago, IL",54.25,73,17,101,36
140,"Nampa, ID",41.57,182,86,102,136
149,"Irving, TX",40.21,117,135,103,165
97,"Lexington-Fayette, KY",47.28,30,85,104,125
156,"Fort Wayne, IN",38.70,105,137,105,180
113,"Salem, OR",44.87,139,82,106,112
106,"Milwaukee, WI",45.96,127,97,107,73
65,"Buffalo, NY",50.87,79,32,108,63
129,"Fresno, CA",42.79,157,56,109,148
59,"Philadelphia, PA",51.29,134,22,110,45
130,"Oklahoma City, OK",42.62,35,149,111,147
73,"Pearl City, HI",50.57,26,112,112,26
124,"Columbus, OH",43.64,111,99,113,130
117,"Indianapolis, IN",44.52,107,75,114,138
143,"Tulsa, OK",41.04,82,156,115,144
68,"West Valley City, UT",50.67,85,42,116,41
168,"Lubbock, TX",35.89,174,177,117,161
114,"Cheyenne, WY",44.77,86,164,118,124
131,"Cape Coral, FL",42.47,97,143,119,154
10,"Washington, DC",59.75,16,7,120,13
80,"Cedar Rapids, IA",49.10,4,124,121,58
105,"Santa Ana, CA",46.07,94,69,122,97
157,"Amarillo, TX",38.58,172,168,123,141
94,"Anchorage, AK",47.39,143,102,124,31
56,"Garden Grove, CA",51.53,53,58,125,2
128,"Louisville, KY",42.79,171,70,126,113
93,"Aurora, IL",47.48,49,132,127,17
135,"Port St. Lucie, FL",42.24,122,98,128,172
122,"Springfield, MO",43.97,154,104,129,77
116,"Des Moines, IA",44.56,12,139,130,131
164,"Wichita, KS",36.74,114,174,131,164
161,"Mobile, AL",37.33,161,158,132,176
52,"Yonkers, NY",52.21,25,36,133,42
154,"Baton Rouge, LA",39.35,128,163,134,135
152,"Bakersfield, CA",39.61,173,114,135,143
120,"Chesapeake, VA",44.14,69,118,136,102
109,"Rapid City, SD",45.38,95,103,137,81
132,"Kansas City, MO",42.41,145,117,138,99
144,"Akron, OH",40.95,149,152,139,76
121,"Cleveland, OH",44.00,175,51,140,85
123,"Nashville, TN",43.92,101,39,141,159
96,"Warwick, RI",47.29,21,95,142,108
150,"Garland, TX",39.65,129,144,143,142
167,"Winston-Salem, NC",36.24,121,172,144,171
142,"Dover, DE",41.12,93,170,145,155
82,"Jersey City, NJ",48.71,57,31,146,92
136,"Stockton, CA",41.96,144,122,147,98
86,"New Haven, CT",48.14,45,109,148,30
173,"Montgomery, AL",34.50,150,180,149,174
163,"Toledo, OH",37.03,165,153,150,150
103,"New Orleans, LA",46.08,110,131,151,20
110,"Worcester, MA",45.37,59,93,152,87
17,"New York, NY",58.35,42,2,153,15
138,"El Paso, TX",41.89,125,110,154,111
78,"Providence, RI",49.44,31,60,155,27
160,"Fontana, CA",37.61,166,150,156,139
141,"Newport News, VA",41.16,138,123,157,94
137,"Newark, NJ",41.91,147,76,158,121
155,"Las Cruces, NM",39.28,96,175,159,127
166,"Corpus Christi, TX",36.29,160,161,160,152
171,"Fayetteville, NC",35.36,130,173,161,175
90,"Juneau, AK",47.71,140,111,162,12
162,"Lewiston, ME",37.24,181,133,163,110
175,"Augusta, GA",33.76,170,167,164,179
179,"Memphis, TN",32.22,178,166,165,173
153,"Ontario, CA",39.41,167,134,166,60
174,"Columbus, GA",33.97,180,162,167,160
146,"Norfolk, VA",40.50,64,107,168,157
158,"San Bernardino, CA",37.69,176,148,169,89
170,"North Las Vegas, NV",35.50,177,160,170,129
165,"Detroit, MI",36.62,168,125,171,153
177,"Charleston, WV",33.47,159,165,172,178
176,"Shreveport, LA",33.65,148,178,173,156
145,"Hialeah, FL",40.87,74,63,174,163
151,"Grand Prairie, TX",39.65,115,155,175,59
169,"Fort Smith, AR",35.80,169,159,176,119
159,"Moreno Valley, CA",37.66,146,142,177,132
178,"Jackson, MS",33.06,108,176,178,177
172,"Huntington, WV",34.99,179,127,179,104
181,"Gulfport, MS",28.48,163,181,180,181
180,"Laredo, TX",31.47,153,179,181,158
182,"Brownsville, TX",27.44,156,182,182,182
