OverallRank,City,TotalScore,HealthCare,Food,Fitness,GreenSpace,lat,lng
11,"Scottsdale, AZ",59.48,36,44,1,23,33.4941704,-111.9260519
23,"Tempe, AZ",56.65,81,50,2,32,33.4255104,-111.9400054
5,"Salt Lake City, UT",64.16,38,14,3,4,40.7607793,-111.8910474
33,"Plano, TX",54.46,5,106,4,86,33.0198431,-96.6988856
12,"Irvine, CA",59.22,7,41,5,28,33.6845673,-117.8265049
2,"Seattle, WA",66.08,6,8,6,9,47.6062095,-122.3320708
16,"Huntington Beach, CA",58.45,10,47,7,33,33.6594835,-117.9988026
76,"Chandler, AZ",49.77,60,77,8,145,33.3061605,-111.8412502
92,"Gilbert, AZ",47.64,58,84,9,168,33.3528264,-111.789027
44,"Tucson, AZ",53.27,98,43,10,72,32.2226066,-110.9747108
46,"Vancouver, WA",53,71,73,11,80,45.6280277,-122.673865
71,"Nashua, NH",50.59,61,129,12,116,42.7653662,-71.46756599999999
74,"Colorado Springs, CO",49.89,90,92,13,105,38.8338816,-104.8213634
34,"Oceanside, CA",54.37,52,54,14,101,33.1958696,-117.3794834
69,"Reno, NV",50.65,142,91,15,62,39.529919,-119.8142691
18,"Orlando, FL",58.3,55,15,16,46,28.5383832,-81.3789269
8,"Denver, CO",60.26,28,16,17,22,39.7392358,-104.990251
83,"Tacoma, WA",48.69,155,88,18,100,47.2528768,-122.4442906
3,"San Diego, CA",64.94,40,4,19,7,32.715738,-117.1610838
38,"Boise, ID",54.05,91,46,20,47,43.6150186,-116.2023137
27,"Columbia, MD",55.65,1,89,21,96,39.2037144,-76.86104619999999
54,"Aurora, CO",51.61,34,81,22,90,39.7294319,-104.8319195
32,"Tampa, FL",54.98,70,26,23,67,27.950575,-82.4571776
20,"Fremont, CA",57.64,18,25,24,49,37.5485396,-121.988583
15,"Madison, WI",58.53,11,40,25,16,43.0721661,-89.4007501
49,"St. Petersburg, FL",52.49,83,61,26,57,27.7676008,-82.64029149999999
31,"Las Vegas, NV",55.27,164,18,27,21,36.1699412,-115.1398296
99,"Mesa, AZ",46.93,103,72,28,151,33.4151843,-111.8314724
7,"Austin, TX",60.35,27,12,29,25,30.267153,-97.7430608
24,"Atlanta, GA",56.23,87,21,30,44,33.7489954,-84.3879824
50,"Raleigh, NC",52.44,29,33,31,122,35.7795897,-78.6381787
30,"Missoula, MT",55.28,13,136,32,18,46.8721284,-113.9940314
79,"Omaha, NE",49.27,131,83,33,74,41.2565369,-95.9345034
88,"Richmond, VA",48,136,66,34,128,37.5407246,-77.4360481
60,"Spokane, WA",51.26,76,55,35,91,47.6587802,-117.4260466
42,"Santa Rosa, CA",53.5,44,65,36,65,38.440429,-122.7140548
40,"Overland Park, KS",53.95,2,108,37,95,38.9822282,-94.6707917
4,"Portland, OR",64.69,32,3,38,5,45.515232,-122.6783853
37,"Fort Lauderdale, FL",54.06,48,48,39,52,26.1224386,-80.13731740000001
39,"Long Beach, CA",54.01,62,37,40,50,33.7700504,-118.1937395
77,"Charleston, SC",49.52,24,121,41,134,32.7764749,-79.93105120000001
29,"Pittsburgh, PA",55.41,72,19,42,51,40.44062479999999,-79.9958864
51,"St. Louis, MO",52.26,104,45,43,48,38.6270025,-90.19940419999999
13,"Portland, ME",59.21,43,23,44,6,43.6590993,-70.2568189
35,"Glendale, CA",54.36,56,64,45,11,34.1425078,-118.255075
70,"Charlotte, NC",50.63,37,35,46,137,35.2270869,-80.8431267
101,"Glendale, AZ",46.27,124,101,47,118,33.5386523,-112.1859866
47,"Phoenix, AZ",52.74,100,27,48,69,33.4483771,-112.0740373
118,"Rancho Cucamonga, CA",44.45,132,145,49,120,34.10639889999999,-117.5931084
62,"Virginia Beach, VA",51.03,39,52,50,93,36.8516437,-75.97921939999999
